word;сi
интересов;2.2479537235327136
почти;-1.8445502061955517
Москва;-0.07523299306229685
проката;2.2479537235327136
организаций;2.2479537235327136
МТС;0.6623620492120134
жилье;2.2479537235327136
обладает;4.918908760365676
приятное;2.2479537235327136
выросло;2.2479537235327136
карты;-0.6945907032201657
Кировское;2.2479537235327136
хорошие;2.2479537235327136
офис;1.3171690555330855
МПС;2.2479537235327136
клиенты;2.2479537235327136
Олимпиады;2.2479537235327136
побоялись;2.2479537235327136
стартовал;2.2479537235327136
пунктов;2.2479537235327136
стояла;2.2479537235327136
Цифра;2.2479537235327136
Наблюдательный;2.2479537235327136
а;-1.5542016230314921
большой;0.6623620492120134
отразятся;0.6623620492120134
пользоваться;-0.07523299306229685
постсоветском;2.9859156540927243
аккредитовал;2.2479537235327136
бум;2.2479537235327136
банк;-1.040368421832232
отсрочка;2.2479537235327136
расчетному;2.9859156540927243
сожалением;2.540820647833942
ТЦ;2.2479537235327136
нашими;2.9859156540927243
«Ро;2.2479537235327136
недвижимость;2.9859156540927243
этого;-0.5612895430888436
Маяковская;2.2479537235327136
новостиДня;0.6623620492120134
стороне;2.2479537235327136
рискуете;2.2479537235327136
овердрафтный;2.2479537235327136
инструментарием;2.9859156540927243
подавятся;2.2479537235327136
УЭК;2.2479537235327136
том;-1.456265158631572
выросли;2.2479537235327136
город;2.2479537235327136
Госпрограмм;2.2479537235327136
парюсь;2.2479537235327136
приема;-0.07523299306229685
трех;-0.25659662968104163
операцион;2.2479537235327136
франков;2.9859156540927243
действия;0.6623620492120134
стабильную;3.4723395062099653
Люксембурге;2.9859156540927243
цели;2.2479537235327136
новой;2.9859156540927243
быстрый;2.2479537235327136
тот;2.2479537235327136
новатека;2.2479537235327136
ресурсную;2.2479537235327136
Бурятии;2.9859156540927243
заморозили;2.2479537235327136
регионов;2.2479537235327136
нормально;-0.07523299306229685
исследования;2.9859156540927243
помеха;2.2479537235327136
развивать;2.2479537235327136
общей;2.2479537235327136
времени;2.2479537235327136
Общество;0.6623620492120134
Олы»;3.4723395062099653
концу;2.9859156540927243
участников;2.2479537235327136
«Банк;-1.456265158631572
помогал;2.2479537235327136
восполь;2.2479537235327136
И;-0.40408568111274673
СМИ;-4.554604842470476
квартале;2.2479537235327136
автопроверку;2.2479537235327136
долгих;2.2479537235327136
оплате;2.2479537235327136
«Партнер;2.2479537235327136
ОАО;1.7339674082810905
филиал;3.4723395062099653
будет;-1.9777471931528723
взять;0.37332706592862747
прекрасный;2.2479537235327136
размере;2.2479537235327136
РЖД;2.2479537235327136
достаточным;2.9859156540927243
пошаманьте;2.2479537235327136
льготным;2.2479537235327136
Европейским;3.835907300047224
уровень;2.2479537235327136
России»;0.6623620492120134
—;-0.40408568111274673
розничным;5.80829878538266
совершили;2.2479537235327136
рынок;1.5127205834522135
стало;-0.5612895430888436
берет;-0.07523299306229685
Росс;-0.07523299306229685
СО;2.2479537235327136
Ауэрбанка;2.9859156540927243
Они;-0.186527689758002
жилищные;2.2479537235327136
делает;0.6623620492120134
ЭТП;2.2479537235327136
представил;2.9859156540927243
зашла;2.9859156540927243
факты;2.2479537235327136
сервисных;2.2479537235327136
бьем;2.2479537235327136
Магаданской;3.835907300047224
Теперь;0.29989616235923916
квартиры;2.2479537235327136
Кредит;2.2479537235327136
любые;2.2479537235327136
расслабиться;2.2479537235327136
любом;2.9859156540927243
разместил;3.4723395062099653
Роснефти;-0.07523299306229685
Да;-0.07523299306229685
Россельхозбанк;-2.1170636647429086
точно;-0.07523299306229685
получил;-0.07523299306229685
список;-5.687534122810225
вырос;3.4723395062099653
российской;0.13168841788293809
заявил;-0.07523299306229685
выдал;4.368419517987071
крупных;-0.5612895430888436
пообещали;5.80829878538266
шесть;2.2479537235327136
от;0.14205366964868557
Краснодарский;2.2479537235327136
неустоек;2.9859156540927243
повышают;2.2479537235327136
ценных;2.2479537235327136
референдума;2.2479537235327136
онлайн;2.595722043770665
Москвы;-3.2576811565935886
Введённые;2.2479537235327136
хозяйств;2.2479537235327136
получилась;2.2479537235327136
утра;2.2479537235327136
инвестиционный;2.2479537235327136
пожалуйста;-0.07523299306229685
у;-2.794519727442292
пресс;-0.5612895430888436
Ребят;2.2479537235327136
избежать;2.9859156540927243
революции;2.2479537235327136
«Новатэк»;2.2479537235327136
обрушили;2.2479537235327136
подведены;2.2479537235327136
начал;3.835907300047224
Почта;2.2479537235327136
деятельность;0.6623620492120134
полтора;2.2479537235327136
не;-0.5281832205210963
дал;2.2479537235327136
рейтинге;2.9859156540927243
Россельхозбанка;-2.9742716622374425
«Мобильный;2.2479537235327136
Ивахинов;2.2479537235327136
продаж;4.126412322154643
года;1.7772917176790635
реа;2.2479537235327136
Осетии;2.2479537235327136
лицам;2.2479537235327136
Заявление;2.2479537235327136
